program,quality,season,ytm,shipping_mark,brand_name,pss,basket,flow_type,packaging_status,product_code,description,detail_size_description,new_repeat,master_contract,sam,design,widths,color,article,size_name,size_dims,quantity,cancelled_qty,pcb,order_cartons,net_wt_pcs,net_wt_ctn,gross_weight,total_net_wt,total_gross_wt,l,w,h,cbm,total_volume,tag_cards_yellow_tags,line_product_code_stickers,price,total_value,week_date,no_of_days,ytm_ship_dates,initial_fri,etd,comments,merged,etd_remarks,greige_file
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302622,FN OLIVE 105,FN105 : QC 175X225 + BC 45X130,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,S1,175X225,600,,4,150,,,,,,,,,,,,,8.54,5124.0,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302623,FN OLIVE 135,FN135 : QC 225X225 +  BC  2X45x80 ,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,STANDARD,225X225,1400,,5,280,,,9.36,,,48.0,27.5,33.0,,,,,10.92,15288.0,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0007,5PV27ESCA0001,IMPLANTATION,,I302624,FN OLIVE 150,FN 150 : QC 250X230 + BC  2X45x80 ,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,250x230,2000,,5,400,,,10.26,,,51.0,27.5,33.0,,,,,12.55,25100.0,2026-07-24,52,2026-09-14,2026-09-29,2026-10-16,merge with nov/oct etd,,,
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0009,5PV27ESCA0002,REPLENISHMENT,,I302621,FN OLIVE 90,FN90 : QC 155X225+BC 45X110,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,SINGLE,155X225,252,,6,42,,,7.41,,,45.0,27.5,33.0,,,,,7.82,1970.64,2026-09-04,52,2026-10-26,2026-11-10,2026-11-27,merge with nov/oct etd,,,
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0009,5PV27ESCA0002,REPLENISHMENT,,I302623,FN OLIVE 135,FN135 : QC 225X225 +  BC  2X45x80 ,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,STANDARD,225X225,595,,5,119,,,9.36,,,48.0,27.5,33.0,,,,,10.92,6497.4,2026-09-04,52,2026-10-26,2026-11-10,2026-11-27,merge with nov/oct etd,,,
SPAIN PRINTS,"57 FILS 30x30/ 76x68, 52:48 pc ",SSH-27,,,,545PV27ESCA0009,5PV27ESCA0002,REPLENISHMENT,,I302624,FN OLIVE 150,FN 150 : QC 250X230 + BC  2X45x80 ,,,,OLIVE,,BEIGE,DUVET/QUILT COVER SET,DOUBLE,250x230,845,,5,169,,,10.26,,,51.0,27.5,33.0,,,,,12.55,10604.75,2026-09-04,52,2026-10-26,2026-11-10,2026-11-27,merge with nov/oct etd,,,
ROMANIA PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I280866,DC 150X200 JUNIOR LEA,SET QC 150X200 + 1PC 50x70 ,,,,JUNIOR LEA,,OFF WHITE,DUVET/QUILT COVER SET,SINGLE,150X200,352,,4,88,,,4.94,,,28.0,27.5,33.0,,,,,7.25,2552.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I280907,DC 200X200 JUNIOR LEA,SET QC 200x200 + 2 PC 50x70,,,,JUNIOR LEA,,OFF WHITE,DUVET/QUILT COVER SET,STANDARD,200X200,400,,4,100,,,6.17,,,36.0,27.5,33.0,,,,,10.59,4236.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I302346,SET QC 150X200 DEHLI,SET QC 150X200 + 1PC 50x70 ,,,,DEHLI,,AQUA,DUVET/QUILT COVER SET,SINGLE,150X200,240,,4,60,,,,,,,,,,,,,12.74,3057.6,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I302347,SET QC 200X200 DEHLI,SET QC 200x200 + 2 PC 50x70,,,,DEHLI,,AQUA,DUVET/QUILT COVER SET,STANDARD,200X200,400,,5,80,,,,,,,,,,,,,18.46,7384.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"57 Fils, TC-144, 30x30/76x68, 100% Cotton",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I302348,SET QC 220X240 DEHL,SET QC 220x240 + 2 PC 50x70,,,,DEHLI,,AQUA,DUVET/QUILT COVER SET,DOUBLE,220X240,240,,4,60,,,,,,,,,,,,,20.3,4872.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
ROMANIA PRINTS,"52 FILS 30x30/ 76x56, 100%COTTON",SSH-27,,,,54SSH27ROCA0135,SSH27ROCA0001,,,I302376,DUVET COVER SET 150 THEA,SET QC 150X200 + 1PC 50x70 ,,,,THEA,,ECRU,DUVET/QUILT COVER SET,SINGLE,150X200,300,,4,75,,,,,,,,,,,,,7.25,2175.0,2026-07-31,52,2026-09-21,2026-10-06,2026-10-23,no merging,,,
